objectid,site_name,site_categ,site_type,shape_stat,common_nam,sci_name,taxon_leve,class_name,establish,establish1,data_origi,local_id,reference,origin,origin_met,originator,last_visit,last_vis_1,last_vis_2,next_visit,last_vis_3,last_vis_4,last_vis_5,assoc_visi,assoc_site,assoc_obs,assoc_surv,field_loca,source_geo,comments,gis_acres,gis_miles,fs_unit_id,fs_unit_na,data_sourc,last_updat,site_cn,spatial_id,exempt_fro,shape_area,shape_len,canopy_cover,focal_mean,lf_sclass,EVT_GP_N,elevation,slope,aspect,TRI,TPI,geom
371768,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-05-26,Exact,Forest Service,SHHA - R02F03D06T52a - Jenney 1,Jenney,Natural,Direct,"WATSON, EVAN (Experienced)",2020-05-26,2020-05-26,Exact,NA,Inactive,Usable,Incubation or Gestation Period,1,0,0,0,3,Point,"Species ID based on nest and stand characteristics.  No species observation to confirm ID.
Nest is in POL pine surrounded by sapling aspen/birch.",0.078,0.039,0203,Black Hills National Forest,03,2024-01-09,7b943e1f-222e-47d5-960f-b21b7aad9370,7b943e1f-222e-47d5-960f-b21b7aad9370,NA,3.52835191e-8,6.91605109818e-4,66,58.400001525878906,D,"Ponderosa Pine Forest, Woodland and Savanna",1722,6.815596103668213,25.602188110351563,19.875,1.875,"c(-606640.896174274, 2373173.66560133)"
381454,Little Mair COHA Nest B,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-24,Day,Forest Service,SJ-COHA-D30B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-08-24,2021-08-24,Day,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,"Stick nest in spreading fork of PIPO, easily visible",0.078,0.039,0213,San Juan National Forest,02,2021-11-19,ed33e6e4-9b1e-4165-8f35-5f87981851b8,ed33e6e4-9b1e-4165-8f35-5f87981851b8,NA,3.211142073e-8,6.49852529875e-4,52,48,D,"Ponderosa Pine Forest, Woodland and Savanna",2539,0.8497118949890137,29.475889205932617,5.75,5.75,"c(-1106730.30305396, 1718269.52163296)"
381740,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2018-06-01,Exact,Forest Service,SHHA - R02F03D06T44a - King of the West 1,Meyersville,Natural,Direct,"HOWEY, LOU (Experienced)",2019-06-20,2019-06-20,Exact,NA,Active,Usable,Reproducing,2,0,2,0,10,Point,Lou heard territory call and took a picture of the bird. Reported to WLF shop at Mystic RD.,0.078,0.039,0203,Black Hills National Forest,03,2021-02-23,d0d59a88-1297-43b1-95a1-9cf7c1e45681,d0d59a88-1297-43b1-95a1-9cf7c1e45681,NA,3.52642384785e-8,6.91355058646e-4,50,46,D,"Ponderosa Pine Forest, Woodland and Savanna",1849,2.948819398880005,16.46001434326172,9.75,2,"c(-619740.235757077, 2370566.37659231)"
380318,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2017-12-13,Exact,Forest Service,SHHA - R02F03D06T31a - Simkins Draw 1,Simpkins Draw,Natural,Direct,"WATSON, EVAN (Experienced)",2020-08-25,2020-08-25,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,Nest is in poor condition in live mid-slope PICGLA.  Nest height is 30 ft with aspect of 170 degrees.  Height of nest tree is 42 ft with DBH of 6.3 inches.  Slope at site is 23% and aspect is 347 degrees.  Nest stand is single-story 3C PINPON/PICGLA with,0.078,0.039,0203,Black Hills National Forest,03,2023-01-25,1601d96d-7db2-437f-b445-abab8b5fd187,1601d96d-7db2-437f-b445-abab8b5fd187,NA,3.51505552445e-8,6.89880964676e-4,63,55.63999938964844,D,"Ponderosa Pine Forest, Woodland and Savanna",1915,8.660028457641602,30.81888771057129,29,6.75,"c(-613363.839931341, 2348323.00037186)"
379600,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2019-09-16,Exact,Forest Service,SHHA - R02F03D06T48d - Buck Mountain 4,Buck Mtn,Natural,Direct,"MCENROE, MARGARET KELLY (Limited Experience), WRIGHT, JOHN ALEXANDER (Limited Experience)",2020-07-23,2020-07-23,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Skies clear; no precipitation; temperature 87 degrees F; wind speed avg 0.6 mph; max wind 1.6 mh;r relative humidity is 33%;  nest located in poor condition, representing new territory; site status is unknown, nest overstory is poptre/betpap; canopy cove",0.078,0.039,0203,Black Hills National Forest,03,2021-06-04,72a73445-1d96-46fa-8404-3558bb01d5a0,72a73445-1d96-46fa-8404-3558bb01d5a0,NA,3.5274225719e-8,6.9148499045e-4,67,63.2400016784668,D,"Ponderosa Pine Forest, Woodland and Savanna",1545,8.548383712768555,13.828651428222656,25.75,-10,"c(-598354.082207361, 2370747.88994106)"
379803,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2019-07-29,Exact,Forest Service,R02F03D08T08-13a,Virkula SS,Natural,Direct,"BACHER, RACHEL (Experienced)",2020-06-10,2020-06-10,Exact,NA,Inactive,Usable,Dependent or Nestling Period,2,0,1,0,0,Point,NA,0.078,0.039,0203,Black Hills National Forest,00,2021-02-23,7708369a-4ed5-4374-a037-8980856dd0ef,7708369a-4ed5-4374-a037-8980856dd0ef,NA,3.53723804645e-8,6.92755815024e-4,65,65.68000030517578,E,"Ponderosa Pine Forest, Woodland and Savanna",1643,5.150451183319092,13.690049171447754,17,8.25,"c(-605588.219807907, 2389876.14874814)"
376771,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2018-08-02,Exact,Forest Service,SHHA - R02F03D06T33a - Slate Creek 1,Slate Creek,Natural,Direct,"STRITAR, MATT (Limited Experience)",2020-06-29,2020-06-29,Exact,NA,Inactive,Usable,Reproducing,2,0,1,0,10,Point,Nest in poor condition in live upper-slope BETPAP.  Nest height is 40 ft with aspect of 348 degrees.  Tree height is 45 ft with DBH of 4.9 inches.  Slope at site is 35% and site aspect is 20 degrees.  Nest stand is single-story 3A POPTRE/BETPAP.  Threats,0.078,0.039,0203,Black Hills National Forest,03,2024-01-16,72df2f9f-7946-4d9b-bd44-b272f8bbc06d,72df2f9f-7946-4d9b-bd44-b272f8bbc06d,NA,3.52126461015e-8,6.90686571832e-4,29,30.600000381469727,C,"Ponderosa Pine Forest, Woodland and Savanna",1743,4.479602813720703,115.46334838867188,13.375,1.125,"c(-613005.762597213, 2360187.98135882)"
377008,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2014-04-03,Exact,Forest Service,COHA - R02F03D06T02g - Summerset 3,Botany Canyon,Natural,Direct,"FOREST, PERSONNEL (Limited Experience)",2022-06-09,2022-06-09,Exact,NA,Inactive,Usable,Reproducing,5,0,3,0,10,Point,"Data taken 04/25/2014. Nest located in PIPO stand with oak/chokecherry/snowberry in understory.  Canopy cover is >70%;HSS:4C; Trees have been marked for Timber Sale - Unit 30. Nest in PIPO. Tree height ~50ft; DBH 13.4""; Nest Height~40ft; Nest aspect   de",0.078,0.039,0203,Black Hills National Forest,00,2023-01-12,2b1b475a-3d5f-401e-9fc0-f73bd745ce9d,2b1b475a-3d5f-401e-9fc0-f73bd745ce9d,NA,3.5316310532e-8,6.920303214e-4,31,33.20000076293945,C,"Ponderosa Pine Forest, Woodland and Savanna",1252,6.02596378326416,51.91122817993164,17.625,-0.125,"c(-586469.174003224, 2377797.72949812)"
377488,Muddy Creek SSHA nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2019-07-22,Day,Forest Service,NA,NA,Natural,Direct,"AUSTIN, JENNIFER (Experienced)",2019-07-22,2019-07-22,Day,NA,Active,Usable,Reproducing,1,0,1,0,0,Point,"Observed by E-HX wildlife crew, Culbertson and Stanton. Nest tree is a subalpine fir.",0.078,0.039,0215,White River National Forest,03,2021-02-23,f36d4ba4-a08c-41d2-9099-60ba9e4fa97a,f36d4ba4-a08c-41d2-9099-60ba9e4fa97a,NA,3.29678670665e-8,6.61236139652e-4,57,57.040000915527344,E,Spruce-Fir Forest and Woodland,2991,7.753114223480225,301.8551330566406,25.25,-10.25,"c(-897527.410140772, 1907863.43896522)"
384322,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2019-06-25,Exact,Forest Service,R02F03D08T10-02a,WTH Coopers,Natural,Direct,"MASSIE, JODI (Experienced)",2019-06-25,2019-06-25,Exact,NA,Active,Usable,Dependent or Nestling Period,1,0,1,0,0,Point,NA,0.078,0.039,0203,Black Hills National Forest,00,2021-02-23,4fab51b1-2c5a-471f-9605-472d986bd7b0,4fab51b1-2c5a-471f-9605-472d986bd7b0,NA,3.5354152951e-8,6.92519749258e-4,67,62.84000015258789,C,"Ponderosa Pine Forest, Woodland and Savanna",1978,3.860839605331421,44.32596206665039,12.875,-3.375,"c(-634464.666922044, 2388818.10615418)"
385072,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2019-06-19,Exact,Forest Service,COHA - R02F03D06T17b - Loveland Canyon 2,Loveland Canyon,Natural,Direct,"(MIGRATED), FS CONTRACTOR (Experienced)",2020-06-04,2020-06-04,Exact,NA,Inactive,Usable,Reproducing,3,0,1,0,10,Point,"Structure=PIPO, Alive
Tree Topography=Upper Slope
Tree Height=40ft
Tree DBH=8""
Nest Height=32ft
Nest Aspect=48*
%Slope @ Site=55
Aspect @ Site=12
Understory Species=ANTEN,ASAL7,GABO2,JUCO6,MARE11,PTAN2
%Canopy Closure=75
HSS=3C
Stand Structure",0.078,0.039,0203,Black Hills National Forest,04,2023-01-31,f986b29e-19bd-411e-a5a7-1845220f2157,f986b29e-19bd-411e-a5a7-1845220f2157,NA,3.5271024391e-8,6.91443251309e-4,68,66.4000015258789,E,"Ponderosa Pine Forest, Woodland and Savanna",1373,7.9433698654174805,341.7108459472656,26.625,14.625,"c(-590222.291103529, 2369495.99329973)"
387051,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2017-01-05,Exact,Forest Service,SHHA - R02F03D06T14a - Storm Hill 1,Storm Hill,Natural,Direct,"WATSON, EVAN (Experienced)",2020-06-18,2020-06-18,Exact,NA,Inactive,Usable,Reproducing,3,0,0,0,10,Point,Found while surveying for fuels treatments.  Outside season to determine activity/nest use.,0.078,0.039,0203,Black Hills National Forest,03,2023-02-15,8ff81186-392c-46c9-a3d5-59a5663d6242,8ff81186-392c-46c9-a3d5-59a5663d6242,NA,3.5166201444e-8,6.90083746914e-4,37,30.559999465942383,D,"Ponderosa Pine Forest, Woodland and Savanna",1547,4.602502822875977,171.98291015625,13.875,-8.125,"c(-602347.222313479, 2350426.12746938)"
385907,Canyon Creek SSHA Nest A,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2021-05-12,Exact,Forest Service,SJ-SSHA-D05A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-05-12,2021-05-12,Exact,NA,Active,Usable,Reproducing,1,0,1,0,0,Point,"Nest is in oak, about 6 feet off ground",0.078,0.039,0213,San Juan National Forest,02,2021-11-19,96077748-b90a-443e-975c-48e2896aa651,96077748-b90a-443e-975c-48e2896aa651,NA,3.20415318405e-8,6.48921043275e-4,43,41.959999084472656,E,"Ponderosa Pine Forest, Woodland and Savanna",2479,2.5460216999053955,316.0230407714844,10.375,8.125,"c(-1100027.67854349, 1698815.36084033)"
392349,Wild Bill COHA Nest B,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-07-22,Day,Forest Service,SJ-COHA-D25B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-07-22,2021-07-22,Day,NA,Inactive,Usable,Dependent or Nestling Period,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,4269d664-d179-4ba5-a2c1-af7c12ea6b21,4269d664-d179-4ba5-a2c1-af7c12ea6b21,NA,3.2091319356e-8,6.49584652277e-4,44,44.08000183105469,E,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,2536,1.9269932508468628,295.7099609375,5.75,3.25,"c(-1104335.78715353, 1712611.03928492)"
388614,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2019-07-12,Exact,Forest Service,COHA - R02F03D06T02h - Summerset 4,Botany Canyon,Natural,Direct,"(MIGRATED), FS CONTRACTOR (Experienced)",2022-06-09,2022-06-09,Exact,NA,Inactive,Usable,Reproducing,3,0,1,0,10,Point,"Nest Tree: PIPO, Alive
Tree Topography=Lower Slope
Tree Height=70ft
DBH=16""
Nest Height=55ft
Nest Aspect=120 degree
%Slope=45%
Aspect at site=29 degree
%Canopy Cover=37
HSS=4A
Stand Structure=Multi-Story",0.078,0.039,0203,Black Hills National Forest,03,2023-01-12,fccd3c25-f4d3-410f-8be3-4189f692e119,fccd3c25-f4d3-410f-8be3-4189f692e119,NA,3.53166459855e-8,6.9203448174e-4,59,48.959999084472656,D,"Ponderosa Pine Forest, Woodland and Savanna",1270,5.105541229248047,50.609275817871094,14.625,1.125,"c(-586605.91596816, 2377872.23845918)"
395441,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2017-04-06,Exact,Forest Service,COHA - R02F03D06T40a - Calumet 1,Calumet Ridge,Natural,Direct,"WATSON, EVAN (Experienced)",2023-06-08,2023-06-08,Exact,NA,Inactive,Usable,Reproducing,3,0,0,0,10,Point,Nest in good condition in 62 ft high live side slope Pinpon.  Nest is 41 ft high in fork of tree with DBH of 15.2 in.  Aspect at the nest tree is 200 degrees with a 36% slope.  Canopy cover is 40-70% single-story with 10% MPB infestation in the stand.  A,0.078,0.039,0203,Black Hills National Forest,03,2024-01-12,552927a6-922b-49b5-b9df-674d8aefd671,552927a6-922b-49b5-b9df-674d8aefd671,NA,3.5176464013e-8,6.9021692934e-4,45,35.720001220703125,D,"Ponderosa Pine Forest, Woodland and Savanna",1541,4.251507759094238,64.98310852050781,15,-6,"c(-596204.300502379, 2351918.27968934)"
399617,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-07-13,Exact,Forest Service,SHHA - R02F03D06T01e - Clog Gulch 5,Clog Gulch,Natural,Direct,"EDDY, BEN (Experienced)",2020-07-13,2020-07-13,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,Found by Sagebrush Advisors in the Horse Creek task order survey. Site# BKF0620HC015B-1. Nest in good condition. Nest is suspected ACCCOO based on size and orientation in tree. No signs of recent activity/white-wash. Suspected ACCSTR nest from previous y,0.078,0.039,0203,Black Hills National Forest,03,2024-01-09,c027d8a4-2a06-4ffd-abdf-9d6106b00385,c027d8a4-2a06-4ffd-abdf-9d6106b00385,NA,3.51994773115e-8,6.90515555072e-4,68,57.63999938964844,D,"Ponderosa Pine Forest, Woodland and Savanna",1486,10.136553764343262,27.691509246826172,30.375,-8.375,"c(-598630.03044285, 2356512.16784524)"
394942,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-05-27,Exact,Forest Service,SHHA - R02F03D06T53b - Deadman Creek 2,Deadman Creek,Natural,Direct,"PITZ, ANDREA JEAN (Limited Experience)",2021-06-01,2021-06-01,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2024-01-11,12fb53cb-2a0c-4323-9cf4-c0b7b6808e8f,12fb53cb-2a0c-4323-9cf4-c0b7b6808e8f,NA,3.5197499596e-8,6.90490241415e-4,54,32.720001220703125,UN,Western Riparian Woodland and Shrubland,1236,6.3885626792907715,83.088775634765625,21,-9.5,"c(-586974.112217704, 2355229.82150787)"
401116,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2021-08-23,Exact,Forest Service,SHHA - R02F03D06T09f - Playhouse 6,Harney Lagoons,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2024-06-11,2024-06-11,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Nest in good condition in live mid-slope Pinpon;
Nest Height 25.7 ft
nest Aspect 110 degrees
Tree Height 54.1 ft
Tree DBH 12.6 in
Site Aspect 353 degrees
Site Slope 26%
Canopy is 3B 2-story Pinpon with 60% closure;
Threats include private propert",0.078,0.039,0203,Black Hills National Forest,00,2024-11-07,dd9bcdb3-272e-4e5f-a4db-c094f592ac4d,dd9bcdb3-272e-4e5f-a4db-c094f592ac4d,NA,3.51383297035e-8,6.89722328079e-4,52,49.68000030517578,Developed,Developed-Upland Evergreen Forest,1336,6.369261264801025,39.694889068603516,19.25,4.75,"c(-589032.043097827, 2344033.22212839)"
401203,Cow Canyon COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2020-06-02,Exact,Forest Service,SJ-COHA-D18A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-06-08,2021-06-08,Day,NA,Active,Usable,Reproducing,3,0,4,0,0,Point,"Laterally-located stick nest in branch whorl of PIPO. Flagged orange/white. Determined to be COHA due to observation of individual and feathers found in immediate vicinity. Very well-constructed nest for COHA, almost perfectly conical. Plausible it was N",0.078,0.039,0213,San Juan National Forest,03,2022-06-30,bd331b21-ab1b-426c-ac75-a40b1def2cff,bd331b21-ab1b-426c-ac75-a40b1def2cff,NA,3.2075547337e-8,6.49374188299e-4,45,44.040000915527344,E,"Ponderosa Pine Forest, Woodland and Savanna",2532,1.5994211435317993,210.17352294921875,4.5,0.5,"c(-1101683.08267057, 1708074.44929618)"
401546,Fader COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2022-07-18,Day,Forest Service,SJ-COHA-D33A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2022-07-18,2022-07-18,Day,NA,Active,Usable,Dependent or Nestling Period,1,0,1,0,0,Point,Nest is high in PIPO,0.078,0.039,0213,San Juan National Forest,03,2022-07-29,2A0131AC-1CED-4E9D-8796-EF2450160B29,2A0131AC-1CED-4E9D-8796-EF2450160B29,NA,3.211972938e-8,6.49963270994e-4,39,38.63999938964844,E,"Ponderosa Pine Forest, Woodland and Savanna",2439,2.054121732711792,39.92039108276367,6.75,2.5,"c(-1102693.7552032, 1719911.56367758)"
401686,Italian Canyon COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2022-06-21,Day,Forest Service,SJ-COHA-D31A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2022-06-21,2022-06-21,Day,NA,Active,Usable,Dependent or Nestling Period,1,0,1,0,2,Point,Stick nest against bole of PIPO,0.078,0.039,0213,San Juan National Forest,03,2022-06-30,1FF166E6-794B-4385-9374-F89DBE123E07,1FF166E6-794B-4385-9374-F89DBE123E07,NA,3.19788434545e-8,6.48085306517e-4,50,45.119998931884766,B,"Ponderosa Pine Forest, Woodland and Savanna",2400,2.358755350112915,252.5528106689453,7.125,-0.875,"c(-1083636.71903374, 1679889.36525122)"
401754,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-12,Exact,Forest Service,COHA - R02F03D06T16g - Rockwell 1,Foster Gulch,Natural,Direct,"WATSON, EVAN (Experienced)",2021-08-12,2021-08-12,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2022-07-29,7d79ce49-e900-461c-b680-0f19596d6caa,7d79ce49-e900-461c-b680-0f19596d6caa,NA,3.5162814696e-8,6.90040096678e-4,29,32.08000183105469,D,"Ponderosa Pine Forest, Woodland and Savanna",1350,3.1966757774353027,129.28941345214844,9.75,-1.75,"c(-589057.51813481, 2348738.31882872)"
401755,Luggan COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2022-07-12,Day,Forest Service,SJ-COHA-D32A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2022-07-12,2022-07-12,Day,NA,Active,Usable,Dependent or Nestling Period,1,0,1,0,0,Point,Stick nest high in PIPO,0.078,0.039,0213,San Juan National Forest,00,2022-07-29,82B3EE64-311F-48E2-9A4F-283B32EE3013,82B3EE64-311F-48E2-9A4F-283B32EE3013,NA,3.21051498505e-8,6.49768829486e-4,37,36.91999816894531,E,Douglas-fir-Grand Fir-White Fir Forest and Woodland,2556,1.10661780834198,305.5376892089844,3.5,0.25,"c(-1105816.64401886, 1716480.88570892)"
401487,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-06-11,Exact,Forest Service,SHHA - R02F03D06T54a - Sweet 1,Johnson Gulch,Natural,Direct,"WRIGHT, JOHN ALEXANDER (Limited Experience), PIERCE, COOPER REED (Limited Experience)",2020-06-11,2020-06-11,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,10,Point,"Nest in fair condition in live Quemac. Nest height is 20 ft with aspect of 240 degrees. Nest tree is 40 ft with 19.4 in DBH. Site slope is 1% and aspect is 18 degrees. Site wind is 1 mph avg, 3 mph max, temp is 64 F, Rh is 42%. Nest stand is 2-story 4a Q",0.078,0.039,0203,Black Hills National Forest,03,2022-07-28,40bd1383-2cb1-4fed-990d-c8e5199c3e2f,40bd1383-2cb1-4fed-990d-c8e5199c3e2f,NA,3.5183137447e-8,6.9030371463e-4,60,45.15999984741211,D,"Ponderosa Pine Forest, Woodland and Savanna",1461,0.5699362754821777,16.38953971862793,24.875,-24.875,"c(-592978.604478486, 2352942.77097165)"
401699,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-23,Exact,Forest Service,COHA - R02F03D06T21e - Harney 5,Harney,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2024-06-10,2024-06-10,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Nest in good condition in live mid-slope Pinpon.
Tree Height 52.6 ft
Tree DBH 11.9 in
Nest Height 35.1 ft
Nest Aspect 295 degrees
Site Aspect 74 degrees
Canopy is 3C Pinpon 2-story with 70% canopy cover.
Temp 87.0 F
Wind Avg 1.4 mph
Wind Max 6.5",0.078,0.039,0203,Black Hills National Forest,00,2024-11-06,70b4bbcb-41a9-4931-b2f7-6c3c03a475ac,70b4bbcb-41a9-4931-b2f7-6c3c03a475ac,NA,3.5140795042e-8,6.89754237159e-4,47,48.959999084472656,D,"Ponderosa Pine Forest, Woodland and Savanna",1332,8.883703231811523,75.86393737792969,26.75,6.5,"c(-589316.934861247, 2344535.05947408)"
401700,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2021-06-01,Exact,Forest Service,SHHA - R02F03D06T53f - Deadman Creek 6,Deadman Creek,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2021-06-01,2021-06-01,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,10,Point,"Stick nest in fair condition in live mid-slope Pinpon. Nest height is 20.1 ft with aspect of 148 degres. Nest tree height is 60.6 ft and DBH is 18.9 in.Site has aspect of 138 degrees and slope of 38%. Site wind avg is 1.0 mph, max is 2.9 mph, temp is 72.",0.078,0.039,0203,Black Hills National Forest,00,2022-07-29,717239d0-54f9-427d-9deb-66f2988d40b2,717239d0-54f9-427d-9deb-66f2988d40b2,NA,3.51986148495e-8,6.90504084586e-4,43,44.599998474121094,D,"Ponderosa Pine Forest, Woodland and Savanna",1259,6.926811218261719,69.72283935546875,21.25,-3,"c(-587249.97345166, 2355455.58884039)"
401646,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2021-09-08,Exact,Forest Service,SHHA - R02F03D06T09h - Playhouse 8,Harney Lagoons,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2024-06-11,2024-06-11,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Nest in fair condition in live mid-slope Pinpon;
Tree Height 55.7 ft
Tree DBH 14.8 in
Nest Height 24.5 ft
Nest Aspect 152 degrees
Site Slope 18%
Site Aspect 309 degrees
Overstory is 3B single-story POL Pinpon with 45% canopy at nest tree, but is a",0.078,0.039,0203,Black Hills National Forest,00,2024-10-24,07927abd-9c9a-4725-a85e-4767614d5020,07927abd-9c9a-4725-a85e-4767614d5020,NA,3.5136543602e-8,6.8969891472e-4,65,44.880001068115234,D,"Ponderosa Pine Forest, Woodland and Savanna",1352,1.0291509628295898,6.997220186079345e-13,10.5,5.5,"c(-589915.329914623, 2343755.30154527)"
401647,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-31,Exact,Forest Service,COHA - R02F03D06T25g - Horse Play 6,Horsley Gulch,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2024-08-05,2024-08-05,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Nest in good condition in live Mid-slope Pinpon;
Nest Height 40.9 ft
Nest Aspect 179 degrees
Tree Height 56.8 ft
Tree DBH 13.6 in
Site Slope 35%
Site Aspect 19 degrees
Stand is 2-story 4B/3B Pinpon with 65% canopy cover
Temp 74.6 F
Wind Avg 1.8",0.078,0.039,0203,Black Hills National Forest,00,2024-11-06,56c0dea5-c846-48a9-a8b4-26a147f0099e,56c0dea5-c846-48a9-a8b4-26a147f0099e,NA,3.51417835035e-8,6.89766984137e-4,66,59.68000030517578,D,"Ponderosa Pine Forest, Woodland and Savanna",1337,6.209993362426758,77.18263244628906,24.25,-21,"c(-591475.291595869, 2344886.13218408)"
401423,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-12,Exact,Forest Service,COHA - R02F03D06T16h -  Rockwell 2,Foster Gulch,Natural,Direct,"KOZEL, ZACH (Limited Experience)",2024-07-08,2024-07-08,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,0,Point,Nest in a stringer of large pine in mid slope/upper  bowl. 4C on ridges with open 4A groups in drainage bottom.,0.078,0.039,0203,Black Hills National Forest,03,2024-10-25,3d47743d-32de-4acf-bd66-25d8b3999243,3d47743d-32de-4acf-bd66-25d8b3999243,NA,3.5163175667e-8,6.90044839965e-4,24,28.479999542236328,C,"Ponderosa Pine Forest, Woodland and Savanna",1365,3.3771753311157227,115.34617614746094,10.75,4.5,"c(-589159.572227401, 2348823.83130589)"
401650,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-05-11,Exact,Forest Service,COHA - R02F03D06T28e - Oblivion 4,Oblivion,Natural,Direct,"WATSON, EVAN (Experienced)",2023-09-12,2023-09-12,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,"Nest in fair condition in live lower-slope Pinpon. Nest height is 46 ft with 198 degree aspect. nest tree is 59 ft tall with 13.2 in DBH. Site aspect is 6 degrees and slope is 18%. Site wind avg is 0.7 mph, max is 1.4 mph. temp is 51.1 F, and rh is 46.4%",0.078,0.039,0203,Black Hills National Forest,00,2024-01-16,5ccf074b-2780-43d6-a7c0-63295a38ed2c,5ccf074b-2780-43d6-a7c0-63295a38ed2c,NA,3.51563667035e-8,6.89956325094e-4,57,44.7599983215332,D,"Ponderosa Pine Forest, Woodland and Savanna",1502,4.452489376068115,151.58734130859375,13.75,1,"c(-599411.787664543, 2348317.66099646)"
